objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment
"Historia","157096","0","","0","1","0","0","0","0","0","0","0","","","","","","","28691147","6.51373","7.10171","3.1339","772","1893","thing","Historia","1","6","180","180","30","2014","1,3,4,5,6","5","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Hold the Line","35342","0","","0","1","0","0","0","0","0","0","0","","","","","","","18434780","6.19093","7.43023","1.8621","1345","809","thing","Hold the Line","2","2","60","60","60","2008","1,2","2","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Homeland: The Game","160968","7.9","","0","1","0","0","0","0","0","0","0","","","","","","","27335134","5.95743","6.94618","2.6552","2035","755","thing","Homeland: The Game","3","6","90","90","90","2015","3,4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Hornet Leader: Carrier Air Operations","65564","7.6","","0","1","1","0","0","0","0","0","0","","","","","","","13478549","6.4711","7.98498","2.8391","825","1244","thing","Hornet Leader: Carrier Air Operations","1","1","60","60","60","2010","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Horus Heresy","63543","0","","0","1","0","0","0","0","0","0","0","","","","","","","20176795","6.47803","7.1217","3.7192","820","3111","thing","Horus Heresy","2","2","135","135","135","2010","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"A House Divided","701","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603935","6.56186","7.09639","2.6438","710","3150","thing","A House Divided","2","2","240","240","240","1981","2","2","12+","No necessary in-game text","","","",,"","","","","","","","",""
"The Hunters: German U-Boats at War, 1939-43","113873","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549706","6.60932","7.78922","2.5702","647","1964","thing","The Hunters: German U-Boats at War, 1939-43","1","2","120","120","120","2013","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Hyperborea","119788","0","","0","1","0","0","0","0","0","0","0","","","","","","","27426382","6.83811","7.38542","3.1875","427","2497","thing","Hyperborea","2","6","90","90","90","2014","2,3,4,5","4","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Ideology: The War of Ideas","8059","3","","0","1","1","0","0","0","0","0","0","","","Most disappointing game ever.","","","","10936313","5.83545","6.21332","2.7576","2583","1462","thing","Ideology: The War of Ideas","2","5","90","90","90","2003","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Illuminati:  Deluxe Edition","28","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128430","6.31907","6.55375","2.6502","1067","6585","thing","Illuminati:  Deluxe Edition","2","8","180","180","60","1987","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Imperial Settlers","154203","0","","0","1","0","0","0","0","0","0","0","","","","","","","26048369","7.44768","7.66416","2.7292","84","11195","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Impulse","144239","0","","0","1","0","0","0","0","0","0","0","","","","","","","24395795","6.42312","7.07181","2.8864","899","1981","thing","Impulse","2","6","60","60","30","2013","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"In Magnificent Style","124622","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549858","5.80893","7.37267","1.7391","2743","329","thing","In Magnificent Style","1","2","60","60","60","2012","1","1","12","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Infection: Humanity's Last Gasp","142854","7","","0","1","0","0","0","0","0","0","0","","","","","","","19603876","6.10669","7.45892","2.0541","1550","658","thing","Infection: Humanity's Last Gasp","1","1","45","45","45","2013","1","1","8+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Infinite City","46807","0","","0","1","1","0","0","0","0","0","0","","","","","","","27885202","5.98504","6.23878","1.8903","1915","1701","thing","Infinite City","2","6","45","45","45","2009","2,3,4,5","","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Innovation","63888","6.5","","0","1","0","0","0","0","0","0","0","","","","","","","17128511","7.122","7.26906","2.7091","220","11896","thing","Innovation","2","4","60","60","45","2010","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Invaders","145654","0","","0","0","0","0","0","0","0","0","1","4","","","","","","26183372","5.81882","7.07081","2.7","2684","380","thing","Invaders","2","2","60","60","60","2013","2","2","10","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Iron and Oak","62226","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549869","5.68863","6.95175","2.5357","3785","397","thing","Iron and Oak","2","0","90","90","90","2013","","","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Island Fortress","27574","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067680","5.71553","6.70941","2.9231","3476","505","thing","Island Fortress","2","4","90","90","90","2013","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Island Siege","133405","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725331","5.81121","6.91881","2","2727","521","thing","Island Siege","2","4","45","45","45","2013","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"JAB: Realtime Boxing","62853","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128333","5.97224","6.39487","1.7458","1975","1606","thing","JAB: Realtime Boxing","2","2","15","15","15","2011","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Jackson & Sheridan","185457","0","","0","1","0","0","0","0","0","0","0","","","","","","","33284763","0","7.66667","2","0","37","thing","Jackson & Sheridan","1","2","120","120","30","2015","","","","","","","",,"","","","","","","","",""
"Jenseits von Theben","13883","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","13478597","6.17472","7.19327","2.4286","1386","428","thing","Jenseits von Theben","2","4","75","75","75","2004","2,3,4","3","12+","No necessary in-game text","","","",,"","","","","","","","",""
"The Kaiser's Pirates","28185","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603919","5.81941","6.4197","2.2436","2683","932","thing","The Kaiser's Pirates","1","4","90","90","90","2007","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Kanban: Automotive Revolution","109276","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885038","7.12535","7.80179","4.2402","217","3172","thing","Kanban: Automotive Revolution","2","4","120","120","90","2014","2,3,4","3,4","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Kemet","127023","0","","0","1","1","0","0","0","0","0","0","","","","","","","19603957","7.52184","7.7808","2.9247","67","8361","thing","Kemet","2","5","120","120","90","2012","3,4,5","4,5","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Killer Bunnies and the Journey to Jupiter","33876","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","10936175","5.49654","5.7053","2.5357","9822","615","thing","Killer Bunnies and the Journey to Jupiter","2","6","90","90","90","2008","3,4,5,6","5","8+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Killer Bunnies and the Quest for the Magic Carrot","3699","7","","0","1","0","0","0","0","0","0","0","","","","","","","10936167","5.42126","5.53576","1.8543","11483","6938","thing","Killer Bunnies and the Quest for the Magic Carrot","2","8","90","90","90","2002","3,4,5,6,7,8","4,5,6","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Killer Bunnies: Heroes vs. Villains – Blue Starter Deck","141523","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895459","0","6.22222","3","0","56","thing","Killer Bunnies: Heroes vs. Villains – Blue Starter Deck","2","4","60","60","60","2013","","","","","","","",,"","","","","","","","",""
"Kinder Bunnies: Their First Adventure","14441","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128521","5.582","5.95172","1.3846","5878","471","thing","Kinder Bunnies: Their First Adventure","2","5","20","20","20","2005","2,3,4,5","3,4","3–12","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"King of Chicago","20772","0","","0","0","0","0","0","0","0","0","1","4","","","","","","29113217","5.63366","6.54774","2.5714","4580","175","thing","King of Chicago","2","6","120","120","120","2005","4,5,6","5","10","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"King of New York","160499","0","","0","1","0","0","0","0","0","0","0","","","","","","","29484107","7.09409","7.32408","1.8312","238","9603","thing","King of New York","2","6","40","40","40","2014","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"King's Forge","126996","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885866","6.21777","7.12181","2.2903","1269","1099","thing","King's Forge","2","4","60","60","60","2014","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Kings of Air and Steam","111732","0","","0","1","1","0","0","0","0","0","0","","","","","","","27883338","6.36525","6.99364","2.8172","990","1445","thing","Kings of Air and Steam","2","7","90","90","90","2013","2,3,4,5,6,7","4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Krosmaster: Arena","112138","0","","0","1","1","0","0","0","0","0","0","","","","","","","20895410","6.64069","7.11588","2.6471","612","4589","thing","Krosmaster: Arena","2","4","60","60","60","2012","2,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Labyrinth: The War on Terror, 2001 – ?","62227","8","","0","1","0","0","0","0","0","0","0","","","","","","","11878898","7.10768","7.58463","3.5182","226","5270","thing","Labyrinth: The War on Terror, 2001 – ?","1","2","180","180","180","2010","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Lagoon: Land of Druids","152053","0","","0","1","0","0","0","0","0","0","0","","","","","","","28691188","6.10719","6.77474","2.7463","1548","2357","thing","Lagoon: Land of Druids","1","4","60","60","60","2014","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Last Frontier: The Vesuvius Incident","2324","0","","0","0","0","1","0","0","0","0","1","3","","","","","","27638139","5.76175","7.05701","2.8438","3073","555","thing","Last Frontier: The Vesuvius Incident","1","1","120","120","120","1993","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Last Night on Earth: The Zombie Game","29368","0","","0","1","1","0","0","0","0","0","0","","","","","","","17128401","6.8963","7.07291","2.2866","391","14123","thing","Last Night on Earth: The Zombie Game","2","6","90","90","90","2007","2,3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"The Last Spike","177875","0","","0","1","0","0","0","0","0","0","0","","","","","","","33284863","5.73814","7.0329","1.8571","3252","231","thing","The Last Spike","2","6","60","60","45","2015","3,4,5","4","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Leaving Earth","173064","0","","0","1","0","0","0","0","0","0","0","","","","","","","29516494","5.91364","8.0951","3.0455","2211","422","thing","Leaving Earth","1","5","180","180","60","2015","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Lee's Invincibles","185456","0","","0","1","0","0","0","0","0","0","0","","","","","","","33284773","0","8","0","0","39","thing","Lee's Invincibles","1","2","120","120","60","2015","","","","","","","",,"","","","","","","","",""
"Legacy: Gears of Time","119781","0","","0","1","1","0","0","0","0","0","0","","","","","","","18456511","6.31185","7.17305","2.8039","1086","1282","thing","Legacy: Gears of Time","2","4","60","60","60","2012","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Legacy: The Testament of Duke de Crecy","52461","0","","0","0","0","0","0","0","0","0","0","","","","","","","22428105","6.90312","7.34187","2.7128","380","3349","thing","Legacy: The Testament of Duke de Crecy","1","4","60","60","60","2013","1,2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Legend of the Five Rings","1887","0","","0","1","0","0","0","0","0","0","0","","","","","","","28545605","6.47335","7.08961","3.2857","822","1959","thing","Legend of the Five Rings","2","8","45","45","45","1995","2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Legendary Encounters: An Alien Deck Building Game","146652","0","","0","1","0","0","0","0","0","0","0","","","","","","","27638158","7.54511","7.9626","2.7077","62","6472","thing","Legendary Encounters: An Alien Deck Building Game","1","5","45","45","45","2014","1,2,3,4,5","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Legendary: A Marvel Deck Building Game","129437","0","","0","1","1","0","0","0","0","0","0","","","Comes with first two expansions","","","","19777856","7.38182","7.61229","2.4783","104","13381","thing","Legendary: A Marvel Deck Building Game","1","5","45","45","45","2012","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Legendary: Dark City","137762","0","","0","1","0","0","0","0","0","0","0","","","","","","","19777859","7.65882","8.34484","2.6788","0","7134","thing","Legendary: Dark City","1","5","60","60","60","2013","1,2,3,4,5","3,4","8+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Legends of Andor","127398","0","","0","1","0","0","0","0","0","0","0","","","","","","","18211632","7.08281","7.35372","2.7299","248","8769","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Legends of the Ancient World: The Gates to the Underworld","27035","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350844","0","7.22222","3","0","28","thing","Legends of the Ancient World: The Gates to the Underworld","1","6","120","120","120","2005","","","14","","","","",,"","","","","","","","",""
"Legends of Time and Space: The Dark Star Incident","37015","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350867","0","7.64286","3.5","0","23","thing","Legends of Time and Space: The Dark Star Incident","1","6","120","120","120","2008","4","4","Up to 12","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Legends of Time and Space: Void Station 57","27743","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350870","0","7.03333","2.5","0","43","thing","Legends of Time and Space: Void Station 57","1","6","120","120","120","2006","3,4,5","3,4,5","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Legion of Honor","39941","0","","0","1","0","0","0","0","0","0","0","","","","","","","29878623","5.69137","7.23837","2.3846","3741","322","thing","Legion of Honor","1","6","480","480","480","2014","1,4","4","","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Legions of Darkness","94331","0","","0","1","0","0","0","0","0","0","0","","","","","","","15587598","5.70393","6.89922","2","3595","330","thing","Legions of Darkness","1","1","30","30","30","2011","1","1","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Level 7 [Escape]","125658","6.8","","0","1","1","0","0","0","0","0","0","","","","","","","17087756","5.76858","6.21675","2.7931","3015","1413","thing","Level 7 [Escape]","1","4","45","45","45","2012","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Lewis & Clark","140620","0","","0","1","0","0","0","0","0","0","0","","","","","","","23084105","7.43896","7.66751","3.2802","87","8748","thing","Lewis & Clark","1","5","120","120","120","2013","1,2,3,4","3","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Liberty or Death: The American Insurrection","165872","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067503","6.12395","8.55552","3.8163","1508","1084","thing","Liberty or Death: The American Insurrection","1","4","180","180","180","2016","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Liberty: The American Revolution 1775-83","6719","0","","0","1","0","0","0","0","0","0","0","","","","","","","33284887","6.11378","7.21746","2.6","1534","729","thing","Liberty: The American Revolution 1775-83","2","2","180","180","180","2003","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Lincoln's War","35452","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549744","5.63289","6.86218","3.0625","4589","372","thing","Lincoln's War","1","4","180","180","180","2013","2","2","18","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Lock 'n Load Tactical: Day of Heroes","25727","0","","0","0","0","1","0","0","0","0","1","2","","","","","","28829893","5.97706","7.6919","2.766","1944","624","thing","Lock 'n Load Tactical: Day of Heroes","1","2","120","120","60","2008","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"London","65781","0","","0","0","0","0","0","0","0","0","0","","","","","","","17128359","7.18143","7.42416","2.8794","191","5048","thing","London","2","4","90","90","90","2010","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"The Lord of the Rings: The Card Game","77423","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603946","7.45337","7.63901","3.0932","82","19054","thing","The Lord of the Rings: The Card Game","1","4","60","60","60","2011","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Lords of Waterdeep","110327","0","","0","1","1","0","0","0","0","0","0","","","","","","","15587567","7.69183","7.80309","2.5172","34","27774","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Machina Arcana","144743","0","","0","0","0","0","0","0","0","0","1","3","","","","","","27638419","5.81247","7.65031","3.1111","2722","488","thing","Machina Arcana","1","4","150","150","150","2014","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Mage Knight Board Game","96848","8.1","","0","1","0","0","0","0","0","0","0","","","","","","","14809885","7.96464","8.14679","4.1547","9","21211","thing","Mage Knight Board Game","1","4","150","150","150","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Mage Knight Board Game: The Lost Legion","130704","0","","0","1","0","0","0","0","0","0","0","","","","","","","18124519","7.86128","8.82932","4.113","0","6714","thing","Mage Knight Board Game: The Lost Legion","1","5","240","240","240","2012","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Magic Realm","22","0","","0","0","0","1","0","0","0","0","1","1","","","","","","30191302","6.55469","7.11192","4.4831","720","2959","thing","Magic Realm","1","16","240","240","240","1979","1,2,3,4,5,6,7,8","3,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"The Manhattan Project","63628","0","","0","0","0","0","0","0","0","0","0","","","","","","","18296030","7.25168","7.52494","2.952","154","6900","thing","The Manhattan Project","2","5","120","120","120","2012","2,3,4,5","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Mansions of Madness","83330","7.8","","0","1","0","0","0","0","0","0","0","","","","","","","13478625","7.22142","7.43811","3.24","167","13504","thing","Mansions of Madness","2","5","120","120","120","2011","2,3,4,5","5","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Master and Commander: The Far Side of the World","8517","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128498","5.47326","5.31883","2","10604","178","thing","Master and Commander: The Far Side of the World","2","8","60","60","60","2003","","","","","","","",,"","","","","","","","",""
"Memoir '44","10630","6.5","","0","1","0","0","0","0","0","0","0","","","","","","","12227984","7.39579","7.52139","2.275","101","21096","thing","Memoir '44","2","2","60","60","30","2004","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Memoir '44: Air Pack","31638","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128231","6.72728","7.61196","2.4211","0","3051","thing","Memoir '44: Air Pack","2","2","60","60","60","2007","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Merchant of Venus (second edition)","131646","0","","0","1","0","0","0","0","0","0","0","","","","","","","17829374","6.86148","7.29084","3.07","414","4810","thing","Merchant of Venus (second edition)","1","4","240","240","120","2012","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Merchants & Marauders","25292","0","","0","1","0","0","0","0","0","0","0","","","","","","","18456503","7.26314","7.45547","3.1896","149","10808","thing","Merchants & Marauders","2","4","180","180","180","2010","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Metro","559","0","","0","1","1","0","0","0","0","0","0","","","","","","","20895232","6.22336","6.3708","1.7002","1257","4582","thing","Metro","2","6","30","30","30","1997","2,3,4,5,6","","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Mice and Mystics","124708","0","","0","1","0","0","0","0","0","0","0","","","","","","","17796961","7.32533","7.54587","2.6174","124","15864","thing","Mice and Mystics","1","4","120","120","120","2012","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"MidEvil Deluxe","42627","0","","0","1","1","0","0","0","0","0","0","","","","","","","17128381","5.55288","6.2841","2.25","0","267","thing","MidEvil Deluxe","2","6","60","60","60","2009","2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Might & Magic Heroes","108344","0","","0","0","0","1","0","0","0","0","1","1","","","","","","24738415","5.89406","6.78483","3.2353","2290","655","thing","Might & Magic Heroes","2","4","180","180","180","2012","2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Mistfall","168274","0","","0","1","0","0","0","0","0","0","0","","","","","","","30868810","6.21184","7.37","3.75","1292","1493","thing","Mistfall","1","4","120","120","120","2015","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Modern Naval Battles: Global Warfare","28828","0","","0","1","1","0","0","0","0","0","0","","","","","","","14538193","5.65978","6.70826","1.8","4156","287","thing","Modern Naval Battles: Global Warfare","2","6","90","90","90","2008","2,3,4,6","3","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Moonbase Alpha","134964","0","","0","1","1","0","0","0","0","0","0","","","","","","","19603940","5.61327","7.05086","2.3333","4996","141","thing","Moonbase Alpha","2","2","90","90","90","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Munchkin Quest","29678","0","","0","1","1","0","0","0","0","0","0","","","","","","","16350940","5.82949","6.02298","2.5238","2615","5261","thing","Munchkin Quest","2","4","180","180","180","2008","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Mutant Chronicles: Siege of the Citadel","1621","6.8","","0","1","0","0","0","0","0","0","0","","","","","","","13478612","6.20772","6.95816","2.2471","1304","1374","thing","Mutant Chronicles: Siege of the Citadel","2","5","120","120","120","1993","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Mysterium","181304","0","","0","1","0","0","0","0","0","0","0","","","","","","","31313793","7.2833","7.62247","1.9472","139","7244","thing","Mysterium","2","7","42","42","42","2015","2,3,4,5,6,7","5,6","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Myth","140519","0","","0","1","0","0","0","0","0","0","0","","","","","","","27900748","6.12916","6.77327","3.7949","1495","2613","thing","Myth","2","5","120","120","120","2014","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Mythotopia","133632","0","","0","1","0","0","0","0","0","0","0","","","","","","","29803829","6.36383","7.06319","3.0941","998","1870","thing","Mythotopia","2","4","120","120","60","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Nations","126042","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549695","7.5553","7.8132","3.5174","55","7376","thing","Nations","1","5","200","200","40","2013","1,2,3,4,5","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Nations: The Dice Game","157809","0","","0","0","0","1","0","0","0","0","1","4","","","","","","25475419","6.59821","6.99662","2.0238","663","2250","thing","Nations: The Dice Game","1","4","40","40","20","2014","1,2,3,4","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Nauticus","144415","0","","0","0","0","1","0","0","0","0","0","","","","","","","29109576","6.28102","7.02942","2.9851","1149","952","thing","Nauticus","2","4","90","90","90","2013","2,3,4","","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Navajo Wars","102435","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895223","6.46418","8.02777","3.8","840","1417","thing","Navajo Wars","1","2","120","120","120","2013","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Neanderthal","171662","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067615","6.00019","7.61321","3.375","1860","1134","thing","Neanderthal","1","3","120","120","60","2015","1,2,3","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Nemo's War","39232","0","","0","1","0","0","0","0","0","0","0","","","","","","","17140717","5.93172","7.18038","2.0263","2144","600","thing","Nemo's War","1","1","45","45","45","2009","1","1","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"The New Science","114667","0","","0","1","1","0","0","0","0","0","0","","","","","","","20453489","5.88851","6.57994","2.65","2310","850","thing","The New Science","2","5","90","90","90","2013","2,3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"New York 1901","174660","8","","0","1","0","0","0","0","0","0","0","","","Don't know why but I really like this one.","","","","30414319","6.56593","7.09756","2.124","705","2870","thing","New York 1901","2","4","45","45","45","2015","2,3,4","4","5+","No necessary in-game text","","","",,"","","","","","","","",""
"Nexus Ops","15363","0","","0","1","0","0","0","0","0","0","0","","","","","","","32118951","7.08241","7.27454","2.2244","249","9186","thing","Nexus Ops","2","4","90","90","90","2005","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Nuklear Winter '68","69278","0","","0","1","0","0","0","0","0","0","0","","","","","","","20453559","5.85609","7.53789","3.0556","2469","552","thing","Nuklear Winter '68","2","3","60","60","60","2012","1,2,3","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Omen: A Reign of War","94104","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885667","6.56293","7.45767","2.3111","708","1925","thing","Omen: A Reign of War","2","2","30","30","30","2011","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"One Zero One","150298","0","","0","1","0","0","0","0","0","0","0","","","","","","","27666694","5.84438","6.9084","1.85","2532","651","thing","One Zero One","2","2","15","15","10","2013","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Ora et Labora","70149","0","","0","1","1","0","0","0","0","0","0","","","","","","","16150516","7.55458","7.79793","3.8895","56","7867","thing","Ora et Labora","1","4","180","180","60","2011","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Outpost","1491","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350962","6.28688","6.8743","3.1282","1135","1256","thing","Outpost","2","9","150","150","150","1991","3,4,5,6,7,8","4,5,6","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
